Trainer ID,Name,Gender,Email,Phone Number,Employment Status,Certificates,Specialization,Salary,Hiring Date,Seniority
30168,Sayed Naguib,M,sayednaguib@gmail.com,1290010943,Active,ACE (American Council on Exercise),Exercise Specialist,7563,2024-03-15,Junior
30172,Ibtihal Naguib,F,ibtihalnaguib@gmail.com,1158815371,Active,CrossFit Level 1 Trainer; CPR & First Aid Certified,Fitness Trainer,8642,2024-11-16,Junior
30074,Lina Naguib,F,linanaguib@gmail.com,1233942104,Active,NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise),Bodybuilding Coach,7233,2023-06-20,Junior
30169,Menna Farouk,F,mennafarouk@gmail.com,1590784473,Active,ACSM (American College of Sports Medicine); NSCA (National Strength and Conditioning Association),Athletic Trainer,8257,2024-01-05,Junior
30090,Sayed Mansour,M,sayedmansour@gmail.com,1581177589,Active,CrossFit Level 1 Trainer; NASM (National Academy of Sports Medicine),Personal Trainer,11689,2024-03-12,Senior
30120,Yahya Abdelrahman,M,yahyaabdelrahman@gmail.com,1099867980,Active,ACE (American Council on Exercise); ISSA (International Sports Sciences Association),Sports Coach,8101,2025-06-19,Junior
30025,Sahar Helmy,F,saharhelmy@gmail.com,1058651850,Non Active,CPR & First Aid Certified,Athletic Trainer,9815,2023-06-01,Senior
30149,Adel Youssef,M,adelyoussef@gmail.com,1056676527,Active,CPR & First Aid Certified; NASM (National Academy of Sports Medicine),Fitness Trainer,11115,2023-01-20,Senior
30158,Ebtisam Zahran,F,ebtisamzahran@gmail.com,1273947312,Active,ACE (American Council on Exercise); CPR & First Aid Certified; ISSA (International Sports Sciences Association),Health Coach,10516,2024-08-17,Senior
30055,Ehab Abd Elaziz,M,ehababdelaziz@gmail.com,1510932480,Active,NSCA (National Strength and Conditioning Association); NASM (National Academy of Sports Medicine); ACSM (American College of Sports Medicine),Fitness Trainer,11270,2024-03-08,Senior
30143,Mohsen ElSayed,M,mohsenelsayed@gmail.com,1118518888,Active,CrossFit Level 1 Trainer,Wellness Specialist,10918,2022-09-08,Senior
30147,Aya Saeed,F,ayasaeed@gmail.com,1230305486,Active,ISSA (International Sports Sciences Association); ACSM (American College of Sports Medicine); ACE (American Council on Exercise),Health Coach,8837,2025-07-19,Junior
30129,Ashraf Saeed,M,ashrafsaeed@gmail.com,1041888059,Active,ACSM (American College of Sports Medicine); NSCA (National Strength and Conditioning Association),Lifestyle Coach,7130,2023-06-27,Junior
30067,Moe Ibrahim,M,moeibrahim@gmail.com,1204556238,Active,NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise),Wellness Specialist,7287,2023-01-06,Junior
30048,Ilyas Saeed,M,ilyassaeed@gmail.com,1065940139,Active,ISSA (International Sports Sciences Association); CrossFit Level 1 Trainer,Sports Coach,7237,2025-06-26,Junior
30006,Amr Abdallah,M,amrabdallah@gmail.com,1213433200,Active,NSCA (National Strength and Conditioning Association),Athletic Trainer,8902,2021-10-27,Junior
30103,Salma Zaki,F,salmazaki@gmail.com,1196120183,Active,ACSM (American College of Sports Medicine),Athletic Trainer,7641,2024-01-27,Junior
30058,Ehab ElSayed,M,ehabelsayed@gmail.com,1198214658,Active,ISSA (International Sports Sciences Association); NASM (National Academy of Sports Medicine),Sports Coach,7208,2024-12-22,Junior
30188,Salma Bayoumi,F,salmabayoumi@gmail.com,1589702838,Active,ACE (American Council on Exercise); ISSA (International Sports Sciences Association); CPR & First Aid Certified,Health Coach,7765,2025-04-30,Junior
30085,Yassin Shoukry,M,yassinshoukry@gmail.com,1064317139,Non Active,NASM (National Academy of Sports Medicine); NSCA (National Strength and Conditioning Association),Health Coach,10819,2023-05-09,Senior
30073,Ashraf Farouk,M,ashraffarouk@gmail.com,1209097439,Active,NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise); CrossFit Level 1 Trainer,Exercise Specialist,7936,2025-02-19,Junior
30077,Ziad Zaki,M,ziadzaki@gmail.com,1274517123,Active,ACSM (American College of Sports Medicine),Wellness Specialist,7921,2023-06-10,Junior
30150,Lotfy Barakat,M,lotfybarakat@gmail.com,1558416169,Active,CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine),Athletic Trainer,7484,2024-04-08,Junior
30053,Adel Abd Elaziz,M,adelabdelaziz@gmail.com,1087603859,Active,ACSM (American College of Sports Medicine); NASM (National Academy of Sports Medicine),Bodybuilding Coach,7327,2023-10-27,Junior
30065,Rita Khaled,F,ritakhaled@gmail.com,1278091343,Active,NASM (National Academy of Sports Medicine); ACSM (American College of Sports Medicine),Health Coach,10064,2025-03-10,Senior
30010,Dinaa ElNaggar,F,dinaaelnaggar@gmail.com,1279868727,Active,ACE (American Council on Exercise); CPR & First Aid Certified,Health Coach,10895,2024-10-13,Senior
30079,Suzy Omran,F,suzyomran@gmail.com,1554965137,Active,NSCA (National Strength and Conditioning Association),Health Coach,8763,2025-05-21,Junior
30041,Samir Zahran,M,samirzahran@gmail.com,1186774964,Active,CPR & First Aid Certified,Lifestyle Coach,8306,2021-11-13,Junior
30196,Ziad Omran,M,ziadomran@gmail.com,1271208267,Active,CPR & First Aid Certified; CrossFit Level 1 Trainer; ISSA (International Sports Sciences Association),Lifestyle Coach,10808,2023-10-28,Senior
30171,Yahya Ibrahim,M,yahyaibrahim@gmail.com,1535925556,Active,CPR & First Aid Certified,Bodybuilding Coach,14717,2023-11-30,Fitness Manager
30192,Bassam ElDeeb,M,bassameldeeb@gmail.com,1241986652,Active,CPR & First Aid Certified,Sports Coach,8410,2024-03-06,Junior
30138,Reem ElSayed,F,reemelsayed@gmail.com,1047277901,Active,NSCA (National Strength and Conditioning Association),Wellness Specialist,10656,2024-05-17,Senior
30115,Ibrahim Naguib,M,ibrahimnaguib@gmail.com,1088355231,Active,NSCA (National Strength and Conditioning Association); CPR & First Aid Certified,Health Coach,14584,2025-03-14,Fitness Manager
30092,Moataz Adel,M,moatazadel@gmail.com,1007661771,Active,CPR & First Aid Certified; ACE (American Council on Exercise),Exercise Specialist,8183,2022-09-12,Junior
30052,Mohamed ElMasry,M,mohamedelmasry@gmail.com,1071545168,Active,NSCA (National Strength and Conditioning Association),Bodybuilding Coach,10173,2023-05-02,Senior
30137,Reda Khedr,M,redakhedr@gmail.com,1053051522,Active,ACE (American Council on Exercise); ACSM (American College of Sports Medicine),Fitness Trainer,7457,2025-07-11,Junior
30004,Maha ElGohary,F,mahaelgohary@gmail.com,1044369957,Active,CrossFit Level 1 Trainer,Fitness Trainer,10648,2024-06-08,Senior
30044,Mostafa Zahran,M,mostafazahran@gmail.com,1203447134,Active,CPR & First Aid Certified; NSCA (National Strength and Conditioning Association); CrossFit Level 1 Trainer,Personal Trainer,9903,2022-11-03,Senior
30193,Hany Kamal,M,hanykamal@gmail.com,1204157473,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine); NSCA (National Strength and Conditioning Association),Health Coach,9507,2025-04-27,Senior
30005,Mahmoud Eissa,M,mahmoudeissa@gmail.com,1573872148,Active,NASM (National Academy of Sports Medicine); CPR & First Aid Certified; ACSM (American College of Sports Medicine),Personal Trainer,7644,2021-06-24,Junior
30161,Tahany Shawky,F,tahanyshawky@gmail.com,1137058957,Active,ACE (American Council on Exercise),Lifestyle Coach,7208,2023-06-02,Junior
30046,Moe Zaki,M,moezaki@gmail.com,1024994717,Active,ISSA (International Sports Sciences Association),Bodybuilding Coach,7948,2025-09-20,Junior
30122,Fathy Gaber,M,fathygaber@gmail.com,1515182037,Active,CPR & First Aid Certified; ACSM (American College of Sports Medicine),Lifestyle Coach,7669,2024-03-15,Junior
30009,Bassam Elsayed,M,bassamelsayed@gmail.com,1508317278,Non Active,NASM (National Academy of Sports Medicine); ACE (American Council on Exercise),Lifestyle Coach,10916,2021-09-09,Senior
